author	ntokens	year_of_birth
FallenMadonnaWithTheBigBoobies	172977	1975
Lavendia	160020	1975
HoppetKärleken	138661	1975
Kuben	127089	1975
Jen08	125528	1975
The Doctor	123579	1975
glader	122604	1975
Jojjanna	121279	1975
pållan	116364	1975
Maggi74	102145	1975
ajmaj	101699	1975
Trailer trash TT	96578	1975
Ulle 74	91154	1975
Froggis	89182	1975
Morfen	88216	1975
Helena D	77472	1975
Veronica74	77111	1975
modesty74	76113	1975
Lellebror	75561	1975
DiZZY	71292	1975
jebba	69208	1975
ingra	66796	1975
Limja	65347	1975
JosefinsMamma	64924	1975
Labbematte	64592	1975
jagvetefan	64414	1975
Puchahontas	63291	1975
Gothica	63231	1975
Mamma Björck	61734	1975
Missnööjd	59498	1975
Agent 355	57584	1975
LindaMamman	56640	1975
Cleo1	55819	1975
Humpan	55287	1975
önskar09	54684	1975
väduren74	53995	1975
m0desty	51662	1975
kentmaximus	51560	1975
mandolin76	50405	1975
NilleMilleTjejen	50037	1975
MoM11	49512	1975
Althea	48689	1975
Depsin1	46660	1975
Karolina75	45203	1975
Dreamrose	44634	1975
Virga	43598	1975
Torparn	43550	1975
malininorrköping	40714	1975
Burmakatten	40584	1975
mymamasaid	40112	1975
stortå	40032	1975
Aamamman	38542	1975
Minatre3	37866	1975
Russi	37642	1975
Jessie74	37623	1975
Mooki	37596	1975
pisces74	37440	1975
LillaMjau	36782	1975
familjemamma	35969	1975
jossefina	35008	1975
mononoke hime	33241	1975
Love74	33056	1975
barnsjuk	31918	1975
dahrma74	31662	1975
höst	30618	1975
Räkmamman	29174	1975
Tårtsmulan	28547	1975
Minimo	27147	1975
JakobK	25555	1975
Me myself and I	25428	1975
EnSagaBlirSann	25417	1975
Hanna2004	25241	1975
Knallen12	25193	1975
Lori	25141	1975
Helen1974	25103	1975
Dodo74	25045	1975
sagakarlsdotter	24997	1975
Puppa	24943	1975
India	23978	1975
hoppfull1974	23490	1975
Lokatten	22677	1975
Poughkeepsie	22595	1975
Doodelidoo	22301	1975
Kaisa Kavat	22222	1975
Elvira	21890	1975
Godot	20679	1975
Sneeze	20514	1975
s74	20492	1975
nanna74	20395	1975
Nöjd	19690	1975
Finamamma	19659	1975
Vero06	19437	1975
javabönan	19406	1975
Maya75	19354	1975
blomman10	19323	1975
MrsSophie	19242	1975
Skruttis74	18880	1975
Seka	18643	1975
vivela	18548	1975
Betula74	18082	1975
Piper	17863	1975
flower6	17726	1975
Nileta	17637	1975
WannabeFler	17554	1975
LMJ	16992	1975
Underlig	16546	1975
annsedi	16031	1975
Valentina	15648	1975
Hotelliggaren	15478	1975
Nissa	14870	1975
Pållan	14718	1975
S Y	14710	1975
anna99	14699	1975
UlrikaH	14479	1975
vickan7	14260	1975
en mamma	14017	1975
NeverEver	13987	1975
VilkenLycka	13669	1975
vildkatten	13531	1975
Vivvi	13478	1975
Kringlan	12798	1975
Cina B	12770	1975
Fröken Hepburn	12666	1975
steffo75	12646	1975
wilma123	12640	1975
Eve74	12568	1975
fantasia	12558	1975
Nattfjäril	12381	1975
arrro	12203	1975
Mysan74	11938	1975
smultron74	11575	1975
Bulten	11507	1975
TigerlilyGbg	11383	1975
Ventus	11325	1975
wea	10727	1975
anders 1974	10687	1975
har 2 vill ha 3	10424	1975
familjenstyg	10390	1975
ÄlskaLivet	10299	1975
Jennie med ie	2864237	1976
Johan75	713988	1976
Jenny28	657643	1976
TheCoopers	583214	1976
Happy me	532355	1976
allakantralla	364968	1976
Solkattan	359336	1976
Turran	326914	1976
Mamma till viljestark dotter	254723	1976
Rainbow	235020	1976
Miniluvan	213885	1976
korfu08	207169	1976
Amulett	202242	1976
Gojtan	195420	1976
Mjölk	192941	1976
Minja	180809	1976
tilj75	175359	1976
Ninnis75	172189	1976
KiaL	167284	1976
snigelkatt	163838	1976
SaraSara	162154	1976
StilaM	147547	1976
Johan70	146743	1976
werner	146738	1976
Trinis	139746	1976
Angelique	138304	1976
5 barn Waldenryd	135993	1976
Aniko	131110	1976
Vitros	127488	1976
dorothea	124871	1976
andypandy	119473	1976
Sashimi	117458	1976
MissGoodie	107771	1976
siamesia	105021	1976
Chaplin	102900	1976
Myzan	102846	1976
Karolina1	101892	1976
massadillan	101173	1976
Linduccia	99320	1976
Horst	97087	1976
Glaadis	91243	1976
Skräpis	89154	1976
Niccipicci	87068	1976
Acantha	86451	1976
Panthera leo	86100	1976
smulan 75	84207	1976
Domesticgoddess	84043	1976
Catgodess	82521	1976
LillaBus	80765	1976
Knytet	79455	1976
Sarge	78888	1976
Madicken och Lisabeth	78494	1976
Anti75	76842	1976
Belle Amie	76685	1976
Finlandssvenska	75522	1976
Mikes bride	74152	1976
MaryM	73776	1976
flixflax	68924	1976
mrseriksson	67236	1976
maj09	65653	1976
KiLi	65276	1976
Nina75	60479	1976
Trinitario	60352	1976
Längtar Igen	59826	1976
Ayla sthlm	58873	1976
vill bli mamma 2009	58296	1976
Numminen	57979	1976
