author	birthyear	v1ipm
Alle	1968	0.004852655273364835
Jeanette	1968	0.0
Anne69	1968	0.026689604003506597
Jossebell	1967	0.00970531054672967
Emeli	1952	0.055805535643695614
AW76	1975	0.016984293456776926
Impertiff	1972	0.0024263276366824175
Nickis	1972	0.0024263276366824175
Happy me	1974	
Tyrell	1971	0.03882124218691868
Lindadjo	1976	0.0072789829100472535
mossan	1968	0.0024263276366824175
nnnnnnnn	1968	
Dohgon	1986	0.2887329887652077
Ett två tre	1984	
Snakeheart	1979	0.0
Gladabarnensmamma	1981	0.8734779492056705
copycat	1985	
modestyclara	1977	0.01941062109345934
hotten	1973	0.0072789829100472535
Anne M	1957	
bubbelmaja	1976	0.026689604003506597
vist	1968	0.4925445102465308
Tecum	1955	
fruganL	1988	0.016984293456776926
yodi	1978	0.8637726386589407
Pochahontas	1972	0.11646372656075606
kicki08	1976	2.249205719204601
LHUF	1978	0.7595380058877106
MalinI	1977	0.036399584946695394
Sommartider	1988	
Solaris	1968	0.09463892086140802
Ruggugglan	1986	0.03154630695380268
Fjäril kär	1976	
Gustie	1971	0.012133194982231798
hymafr	1963	0.01698647297512452
PumpkinQueen	1980	
Tilcha	1983	0.029119667957356314
Lorelei	1976	0.0024266389964463595
CoolJen	1978	0.12861186681165704
car	1973	0.004853277992892719
Baronessan	1973	0.0072799169893390785
Sallisen	1990	0.0
hemlis	1968	0.019413111971570876
Mopsan	1985	0.021839750968017237
Adora1	1978	0.024266389964463595
Saltlakrits	1982	0.004853277992892719
Alisa	1979	0.014559833978678157
Ickan	1968	0.004853277992892719
underverket 06	1969	
barnsäng	1968	0.18199792473347695
UWO BaraJag	1971	
högbergarna	1977	0.7207117819445688
Skogsstjärnan	1966	
Tristan	1968	0.0
lilla mej	1976	
sportpappa	1976	
hot fuss	1978	
Bohman	1984	0.4076753514029884
AnnaKlara	1969	0.012133194982231798
hannis	1977	0.026693028960909953
Moomin	1980	
snobben	1968	0.0
Insatt	1980	0.012133194982231798
Konvaljen	1983	0.01698647297512452
luzorsus	1976	0.04610614093248083
gosmamman	1981	0.7328449769268006
Brooke	1987	0.10677211584363981
brokig	1982	0.0024266389964463595
MayaS	1968	0.0
Emeliee	1979	0.004853277992892719
finskaflikkan	1982	0.7061519479658906
Tigra79	1978	1.8151259693418769
flygrl	1996	
snöflingan1	1968	0.24266389964463594
NizzY	1999	0.024266389964463595
Carla82	1981	0.0024266389964463595
Kaosmamma	1980	0.029119667957356314
Tant Groda	1981	
Smajla	1987	
Mamba	1983	0.024266389964463595
ModestyB	1980	0.6624724460298561
AndreaBD	1963	
Lilla Morran	1982	
TheLove	1968	0.014559833978678157
Bondfia	1970	0.012133194982231798
Mania x2	1976	
SuzR	1980	0.6454859730547317
Trikarn	1968	0.029119667957356314
Damien och Adrian	1971	
BasseKatt	1973	0.0
Daggdroppen	1986	0.01698647297512452
Tettan	1968	0.0072799169893390785
lottizm	1983	0.09463892086140802
Stella 78	1977	
Tina B	1968	
Lillatroll	1972	0.19898439770860146
Peztis	1968	0.0
skruttis11	1980	0.009706555985785438
Fiamedbarn	1969	0.09221228186496166
Tuttie	1979	0.05823933591471263
castillo	1986	0.14802497878322793
Studentpappa	1980	
mikroE	1981	0.0024266389964463595
CamillaJ	1983	2.065069785975852
Annanym	1968	0.0072799169893390785
LeaveMeAlone	1982	0.029119667957356314
cruz	1968	0.021839750968017237
Hedi	1964	0.05581269691826627
LuMa	1977	0.9682289595820973
TantG	1968	
allakantralla	1974	0.019413111971570876
NinaFina	1968	0.0
Jossan	1968	
maddiz	1992	
Mirren	1976	0.004853277992892719
Diana	1964	0.0
Solkattan	1974	0.014559833978678157
Pico	1990	0.0
jazzy	1985	0.12133194982231797
Kryztina	1976	0.0024266389964463595
