author	birthyear	v1ipm
Alle	1968	0.021912941615768552
Jeanette	1968	0.018541719828727234
Anne69	1968	0.015170498041685918
Jossebell	1967	0.00674244357408263
Emeli	1952	0.04045466144449579
AW76	1975	0.04719710501857842
Impertiff	1972	0.3657775638939827
Nickis	1972	0.00674244357408263
Happy me	1974	
Tyrell	1971	0.10619348629180143
Lindadjo	1976	0.011799276254644605
mossan	1968	
nnnnnnnn	1968	
Dohgon	1986	
Ett två tre	1984	
Snakeheart	1979	0.0016856108935206576
Gladabarnensmamma	1981	0.7618961238713373
copycat	1985	
modestyclara	1977	0.29666751725963575
hotten	1973	0.04045466144449579
Anne M	1957	
bubbelmaja	1976	0.01348488714816526
vist	1968	0.3472358440652555
Tecum	1955	
fruganL	1988	0.064053213953785
yodi	1978	1.2490376720988072
Pochahontas	1972	0.5107401007367592
kicki08	1976	1.427712426811997
LHUF	1978	1.107446231972602
MalinI	1977	0.17867473453439242
Sommartider	1988	0.0
Solaris	1968	0.05562515320410331
Ruggugglan	1986	0.05899637461041259
Fjäril kär	1976	
Gustie	1971	0.018541717734701098
hymafr	1963	0.023598549844165036
PumpkinQueen	1980	
Tilcha	1983	0.023598549844165036
Lorelei	1976	0.06405320671987653
CoolJen	1978	0.2039588950817121
car	1973	0.062367596016721885
Baronessan	1973	0.003371221406309291
Sallisen	1990	0.003371221406309291
hemlis	1968	0.6590737849334664
Mopsan	1985	0.4298307293044346
Adora1	1978	0.006742442812618582
Saltlakrits	1982	0.0016856107031546455
Alisa	1979	0.011799274922082518
Ickan	1968	0.03034099265678362
underverket 06	1969	
barnsäng	1968	0.1635042382060006
UWO BaraJag	1971	
högbergarna	1977	0.21238694859748536
Skogsstjärnan	1966	
Tristan	1968	0.003371221406309291
lilla mej	1976	
sportpappa	1976	
hot fuss	1978	
Bohman	1984	0.11799274922082519
AnnaKlara	1969	0.011799274922082518
hannis	1977	0.008428053515773228
Moomin	1980	0.0
snobben	1968	0.003371221406309291
Insatt	1980	0.011799274922082518
Konvaljen	1983	0.0016856107031546455
luzorsus	1976	0.1635042382060006
gosmamman	1981	0.5815356925883527
Brooke	1987	0.07753809234511369
brokig	1982	0.0
MayaS	1968	0.003371221406309291
Emeliee	1979	0.0
finskaflikkan	1982	0.342178972740393
Tigra79	1978	0.4382587828202078
flygrl	1996	
snöflingan1	1968	0.26801210180158863
NizzY	1999	0.0
Carla82	1981	0.0016856107031546455
Kaosmamma	1980	
Tant Groda	1981	
Smajla	1987	
Mamba	1983	0.010113664218927874
ModestyB	1980	0.318580422896228
AndreaBD	1963	
Lilla Morran	1982	
TheLove	1968	0.0016856107031546455
Bondfia	1970	0.10113664218927873
Mania x2	1976	
SuzR	1980	1.1782418815050972
Trikarn	1968	0.040454656875711495
Damien och Adrian	1971	
BasseKatt	1973	0.02696977125047433
Daggdroppen	1986	0.02696977125047433
Tettan	1968	0.02865538195362897
lottizm	1983	0.16181862750284598
Stella 78	1977	
Tina B	1968	
Lillatroll	1972	0.3522926369593209
Peztis	1968	0.006742442812618582
skruttis11	1980	0.04551148898517543
Fiamedbarn	1969	0.1921596201596296
Tuttie	1979	0.2764401553173618
castillo	1986	0.07416687093880439
Studentpappa	1980	
mikroE	1981	
CamillaJ	1983	0.1297920241429077
Annanym	1968	0.020227328437855747
LeaveMeAlone	1982	0.023598549844165036
cruz	1968	0.013484885625237164
Hedi	1964	0.05562515320410331
LuMa	1977	0.8664039014214878
TantG	1968	0.0
allakantralla	1974	0.038769046172556845
NinaFina	1968	0.0016856107031546455
Jossan	1968	
maddiz	1992	
Mirren	1976	0.005056832109463937
Diana	1964	0.003371221406309291
Solkattan	1974	0.008428053515773228
Pico	1990	0.013484885625237164
jazzy	1985	0.15001935258076346
Kryztina	1976	0.0016856107031546455
