author	birthyear	v1ipm
Alle	1968	
Jeanette	1968	
Anne69	1968	
Jossebell	1967	
Emeli	1952	
AW76	1975	
Impertiff	1972	
Nickis	1972	
Happy me	1974	
Tyrell	1971	
Lindadjo	1976	
mossan	1968	
nnnnnnnn	1968	0.14153475332792434
Dohgon	1986	
Ett två tre	1984	
Snakeheart	1979	
Gladabarnensmamma	1981	
copycat	1985	0.0
modestyclara	1977	
hotten	1973	
Anne M	1957	
bubbelmaja	1976	
vist	1968	
Tecum	1955	0.2830695066558487
fruganL	1988	
yodi	1978	0.0
Pochahontas	1972	
kicki08	1976	
LHUF	1978	0.12384290916193379
MalinI	1977	
Sommartider	1988	
Solaris	1968	
Ruggugglan	1986	
Fjäril kär	1976	
Gustie	1971	
hymafr	1963	
PumpkinQueen	1980	
Tilcha	1983	
Lorelei	1976	
CoolJen	1978	
car	1973	
Baronessan	1973	
Sallisen	1990	
hemlis	1968	
Mopsan	1985	
Adora1	1978	
Saltlakrits	1982	
Alisa	1979	
Ickan	1968	
underverket 06	1969	
barnsäng	1968	
UWO BaraJag	1971	
högbergarna	1977	
Skogsstjärnan	1966	
Tristan	1968	
lilla mej	1976	
sportpappa	1976	
hot fuss	1978	
Bohman	1984	
AnnaKlara	1969	
hannis	1977	
Moomin	1980	
snobben	1968	
Insatt	1980	
Konvaljen	1983	
luzorsus	1976	
gosmamman	1981	
Brooke	1987	
brokig	1982	
MayaS	1968	
Emeliee	1979	
finskaflikkan	1982	
Tigra79	1978	
flygrl	1996	2.6537766248985815
snöflingan1	1968	
NizzY	1999	
Carla82	1981	
Kaosmamma	1980	
Tant Groda	1981	
Smajla	1987	
Mamba	1983	
ModestyB	1980	
AndreaBD	1963	0.6369063899756595
Lilla Morran	1982	
TheLove	1968	
Bondfia	1970	
Mania x2	1976	
SuzR	1980	
Trikarn	1968	
Damien och Adrian	1971	
BasseKatt	1973	
Daggdroppen	1986	
Tettan	1968	
lottizm	1983	
Stella 78	1977	
Tina B	1968	
Lillatroll	1972	
Peztis	1968	
skruttis11	1980	
Fiamedbarn	1969	
Tuttie	1979	
castillo	1986	0.0
Studentpappa	1980	1.273812779951319
mikroE	1981	
CamillaJ	1983	
Annanym	1968	
LeaveMeAlone	1982	
cruz	1968	
Hedi	1964	
LuMa	1977	
TantG	1968	
allakantralla	1974	
NinaFina	1968	
Jossan	1968	
maddiz	1992	
Mirren	1976	
Diana	1964	
Solkattan	1974	
Pico	1990	
jazzy	1985	
Kryztina	1976	
